alpha,a,b,c,phi1,PHI,phi2,volume,phaseID
152.84421,1.875657,1.0387112,1.875657,175.83393727228378,114.97820752527326,65.35283668916261,15.307006,1
44.823364,0.8092265,0.42464375,0.8092265,114.94698321167903,78.87539180286575,275.97814768815323,1.1648059,1
14.128232,3.531175,1.2779385,3.531175,46.77256192437663,67.89476632592272,162.21691645710266,66.74781,1
1.1298225,6.655653,1.3507773,6.655653,165.06449739376444,115.50055882240774,331.7293634453962,250.6419,1
171.33368,6.3078966,2.2672915,6.3078966,107.36520874872974,78.47330083345139,345.7114734705864,377.88977,1
178.17694,5.4769845,1.3283772,5.4769845,284.2095604115157,89.77699455752894,101.16907544887276,166.91412,1
139.91437,3.320187,2.222552,3.320187,189.66988719871125,5.52815112596142,5.466367811094151,102.62796,1
29.34953,9.150011,4.818229,9.150011,300.61939550502956,110.86390946375707,43.98838788105325,1689.7377,1
18.39274,8.411455,4.711069,8.411455,112.6280720701081,67.48897097510941,148.14199673575158,1396.2087,1
19.212547,5.114516,2.079346,5.114516,96.75097883354965,137.45133162803344,197.38187436039934,227.83708,1
175.92244,13.06397,3.4936144,13.06397,285.51460223336926,116.79849036561147,164.84358894919694,2497.5486,1
54.202293,0.9511671,2.9304163,0.9511671,320.91875886140514,48.005108564241944,151.48550066688597,11.105333,1
176.15057,2.049517,0.9958087,2.049517,287.38017170914,84.65796753436466,124.74716448575035,17.521349,1
174.50941,10.51673,3.9550142,10.51673,187.65674866963838,108.54638564697859,335.96106442646646,1832.3066,1
176.83833,3.5769367,1.1061693,3.5769367,319.43657849640675,71.70522341126501,43.95277881283408,59.283356,1
94.186646,1.0282631,1.2477409,1.0282631,193.84199997968676,24.27102768362198,83.1581336414145,5.5261354,1
39.853268,1.2944347,0.9563172,1.2944347,92.66552692653521,78.79671786105665,331.8228094932398,6.711983,1
168.53052,2.0450804,1.0095923,2.0450804,301.9771097000676,82.74214077320293,165.21212224457753,17.68705,1
41.523808,1.4403874,0.7573486,1.4403874,232.5741083430939,65.21352252240055,185.73738480492918,6.581775,1
46.02926,0.45967543,0.8854676,0.45967543,358.25605789252967,141.8400582375776,52.15881418820402,0.7837253,1
174.29839,1.0483288,0.47775778,1.0483288,178.72368709063463,93.86373463232206,359.85697239205314,2.1993349,1
165.32707,1.6439219,1.2362574,1.6439219,317.3749156855339,123.57154643515693,95.68431236265685,13.99458,1
110.39025,3.1806173,5.490002,3.1806173,57.10597860560728,65.59013026508526,161.0365445546205,232.63977,1
5.139029,3.7210066,2.8883166,3.7210066,244.62973569753288,70.10730263910348,321.551724290926,167.51523,1
7.7180815,4.9164934,2.7879286,4.9164934,32.06802932366678,109.83641608217563,335.2926170489566,282.2807,1
150.83434,1.5410757,1.1361985,1.5410757,174.82591820796412,128.05410350431376,112.03616567158237,11.302924,1
174.43744,2.8605735,1.4710895,2.8605735,27.272031941602,55.95452970870535,26.842106177455538,50.42361,1
157.75208,1.279911,1.0983047,1.279911,147.39079627694633,76.58231408695804,167.7759293226148,7.5365233,1
174.61246,4.2914886,1.4616045,4.2914886,170.15982941068407,129.1080115336185,355.36913487630596,112.75465,1
145.69733,5.602981,2.1355553,5.602981,37.41914874087162,33.898291469049205,44.87263772296627,280.8263,1
134.16687,0.4088432,1.5601563,0.4088432,315.42104955305877,52.3243865088984,40.58210924188846,1.0923712,1
158.11366,2.19513,1.1561749,2.19513,347.9758702036995,88.9952241840421,148.49012273332897,23.336338,1
173.07716,1.2214404,0.5581121,1.2214404,218.37426442460432,115.05540749214214,41.287621392874144,3.4878247,1
173.04218,2.7421248,0.3466232,2.7421248,333.47106389020706,112.25216149855241,358.00441784221783,10.917438,1
159.9583,1.6657287,0.5169081,1.6657287,111.357087997412,108.47444386819635,291.68560556039387,6.0077314,1
7.9180274,5.008383,2.461226,5.008383,285.897741917957,166.09621852674715,269.0021776768791,258.60394,1
16.399836,9.252323,3.0173616,9.252323,117.01966312675117,34.98539711112863,164.91255826858708,1081.9758,1
5.2089334,4.13489,2.7293324,4.13489,129.58962111329816,58.15732037716395,62.991581175632106,195.4668,1
178.03728,7.434817,2.9236739,7.434817,99.32682298275219,117.32518119416058,174.08766074815065,676.95233,1
89.608116,0.64591336,1.5034754,0.64591336,75.48328593891657,67.21126674547688,250.1884948061462,2.6274443,1
31.658092,2.183123,0.9737577,2.183123,89.88287129058055,68.17800491590238,351.5555057502043,19.439985,1
174.36665,28.813414,4.4420843,28.813414,304.9336051045645,101.46251366057098,347.6384419274632,15447.737,1
2.421481,2.9790735,2.2625525,2.9790735,303.80752703883195,158.72952243697978,283.59572915573654,84.110405,1
3.833048,11.5070095,3.5815265,11.5070095,89.656169881357,102.30693577873612,200.9245501110546,1986.4688,1
93.40091,3.6303012,6.1147866,3.6303012,206.31863813829744,38.39952717409977,203.02823724283854,337.56332,1
144.8329,1.3520132,0.354492,1.3520132,241.36125806133748,30.592612880495512,30.903734133240484,2.7142944,1
178.48853,6.7298517,1.1499916,6.7298517,82.40405674912324,76.1539829610266,167.93050749054888,218.16963,1
34.717842,1.3722706,0.4880581,1.3722706,194.08215659972666,115.84724906867203,91.69086369240134,3.849813,1
70.111275,0.39007592,0.9502432,0.39007592,5.328108582814558,38.68431005641134,128.5485731876727,0.60564995,1
8.601229,1.9472408,0.55330414,1.9472408,241.91715298025017,57.619804776427664,95.07252526745579,8.788037,1
138.68839,1.8848053,0.8681316,1.8848053,81.92876198676996,99.38238943322295,177.97792660473675,12.918354,1
